kp.text,kp.f
blowing,1
assassination plot involving,1
circumstances,1
Counter-intelligence,1
lair,1
space launch,1
card wiz,1
American spy,1
colleague,1
actions,1
prisoner,1
atomic-powered radio beam,1
crime boss,1
Revenge,1
case involving,1
fisherman,1
monitoring,1
Strangways,1
nearby islands,1
mineral samples,1
islands,1
disruption,1
American space program.Strangways,1
resourceful British government agent,1
local shell diver,1
response,1
answers,1
flame-throwing armoured tractor,1
Soviet encryption device,1
naive Russian beauty,1
