job.uid,job.title
89249,(2) InVision Software Developer
773762,(3) Software Developers / (2) Sr.  Developer Analyst
58168,*** Software Developer Level 2 and Level 3 ***
1040482,**DIRECT-HIRE** Software Developer
620059,.NET / Biztalk Software Developer
410491,.NET C# Software Developer Programmer
573313,.NET C# software developer
882239,.NET Developer / .NET C# Programmer / .NET software engineer
694410,.NET Developer / Software Engineer
313939,.NET Developer for Aviation Industry Software Leader
293786,.NET Developer – Software Engineer (Software Developer)
623014,.NET Developer – Software Engineer (Software Developer)
1115585,.NET Developer – Software Engineer (Software Developer)
283929,.NET Developer- Wide Variety of Software Projects!
1114166,.NET Senior Software Developer
878421,.NET Senior Software Developer
89164,.NET Senior Software Developer
59521,.NET Software Developer
118252,.NET Software Developer
354952,.NET Software Developer
485977,.NET Software Developer
634119,.NET Software Developer
20097,.NET Software Developer
361259,.NET Software Developer
419673,.NET Software Developer
422307,.NET Software Developer
949572,.NET Software Developer
949573,.NET Software Developer
949755,.NET Software Developer
984484,.NET Software Developer
67346,.NET Software Developer
67361,.NET Software Developer
620269,.NET Software Developer
718976,.NET Software Developer
880697,.NET Software Developer
885286,.NET Software Developer
914759,.NET Software Developer
972914,.NET Software Developer
1032002,.NET Software Developer
1032005,.NET Software Developer
1096237,.NET Software Developer
67402,.NET Software Developer
367707,.NET Software Developer
378878,.NET Software Developer
611972,.NET Software Developer
667660,.NET Software Developer
867884,.NET Software Developer
949574,.NET Software Developer
988937,.NET Software Developer
1099406,.NET Software Developer
367716,.NET Software Developer
667653,.NET Software Developer
667661,.NET Software Developer
1103459,.NET Software Developer
22798,.NET Software Developer
67422,.NET Software Developer
67433,.NET Software Developer
67434,.NET Software Developer
67444,.NET Software Developer
621901,.NET Software Developer
322125,.NET Software Developer
367728,.NET Software Developer
623364,.NET Software Developer
667700,.NET Software Developer
667701,.NET Software Developer
725900,.NET Software Developer
915962,.NET Software Developer
918379,.NET Software Developer
634456,.NET Software Developer (258-282)
1073572,.NET Software Developer (Lead)
553900,.NET Software Developer *
357961,.NET Software Developer - IntelliSource
970415,.NET Software Developer - Specialist VII
484867,.NET Software Developer Needed ASAP
754081,.NET Software Developer/Engineer (Direct Hire)
491184,.NET Web Software Developer
190889,.NET Web Software Developer
874067,".NET, ASP.NET software developer."
964323,".NET, SQL, Sharepoint Software Developer - Web Services"
139517,.NET/C# Software Developer
1011347,.NET/C# Software Developer (Direct Hire)
981753,.NET/IAM Software Developer
476446,.NET/SQL Data Warehouse Software Developer
481483,.NET/Software Developer
280404,.Net Developer - Software Developer
1020321,.Net Developer / Software Architect
842392,.Net Developer / Software Developer
454324,.Net Developer / Software Engineer
548559,".Net Developer, Software Engineer"
831751,.Net Senior Software Developer
476546,.Net Senior Software Developer
289685,.Net Software Developer
318766,.Net Software Developer
493977,.Net Software Developer
718633,.Net Software Developer
845439,.Net Software Developer
889014,.Net Software Developer
971559,.Net Software Developer
1108250,.Net Software Developer
150834,.Net Software Developer
