job_title,total_in_use
Customer Service Representative,30994
Administrative Assistant,29072
Bingo Cashier,23023
Check Out Cashier,23023
Check Cashier,23023
Cashier,23023
Management Assistant,22897
Assistant Manager,22897
Sales Associate,22624
Sow Manager,20877
Manager,20877
Wellness Spa Manager,20877
Manager of IT,20877
IT Manager,20877
Dispatch Manager,20877
Bingo Manager,20877
Debone Manager,20877
Med Spa Manager,20877
Sales Representative,17939
Inside Sales Representative,17939
Inside Sales,16670
Sales,16670
Servicer,16243
Store Manager,16120
IS/IT Project Manager,14858
IT Project Manager,14858
Project Manager,14858
"Project Manager, Senior",14858
Office Manager,14018
Receptionist,13548
Accountant Manager,12354
Accounts Manager,12354
Accounting Manager,12354
Account Manager,12354
Glaze Supervisor,11708
Dike Supervisor,11708
Spring Up Supervisor,11708
Debone Supervisor,11708
Turn Supervisor,11708
Implant Rebuild Supervisor,11708
Ward Supervisor,11708
Screw Supervisor,11708
Supervisor,11708
Wet Pour Supervisor,11708
Dispatch Supervisor,11708
Hatch Supervisor,11708
Mails Supervisor,11708
Preload Supervisor,11708
Load Out Supervisor,11708
Beehive Kiln Supervisor,11708
Recycle Supervisor,11708
Load-Out Supervisor,11708
Caddy/Caddie Supervisor,11708
Dry Paste Supervisor,11708
General Manager,11216
Inside Sales Manager,9973
Sales Manager,9973
Intern,9897
Operations Manager,9725
Photographer Assistant,9681
Assistant,9681
Ward Assistant,9681
Drive Away Driver,9460
Recycle Driver,9460
Residential Recycle Driver,9460
Carry All Driver,9460
Frontload Driver,9460
Hi Lo Driver,9460
Scoop Driver,9460
Dolly Driver,9460
Lift Driver,9460
Deliver Driver,9460
Pick Up Driver,9460
Mixer Driver,9460
Roll Off Driver,9460
Grab Driver,9460
Hammer Driver,9460
Peg Driver,9460
Combine Driver,9460
Rivet Driver,9460
Driver,9460
Dispatch Specialist,8860
Counterintelligence/Humint Specialist,8860
Brake Specialist,8860
"Chemical, Biological, Radiological, Nuclear (CBRN)Specialist",8860
ASW Specialist,8860
Automotive Brake Specialist,8860
IT Specialist,8860
Peer Specialist,8860
Rework Specialist,8860
Central Melt Specialist,8860
Developer,8560
Oracle Developer,8560
Full Stack Developer,8560
Accountant,8462
Account Executive,8393
Accounts Executive,8393
Debug Technician,8068
Sleep Technician,8068
Drill Technician,8068
