job_title,total_by_category
Customer Service Representative,"[[A_LST,4977],[U_LST,21760],[BEST_MATCH,4257]]"
Administrative Assistant,"[[A_LST,4961],[U_LST,18310],[BEST_MATCH,5801]]"
Sales Associate,"[[A_LST,1053],[U_LST,17749],[BEST_MATCH,3822]]"
Bingo Cashier,"[[A_LST,1789],[U_LST,18283],[BEST_MATCH,2951]]"
Cashier,"[[A_LST,1789],[U_LST,18283],[BEST_MATCH,2951]]"
Check Out Cashier,"[[A_LST,1789],[U_LST,18283],[BEST_MATCH,2951]]"
Check Cashier,"[[A_LST,1789],[U_LST,18283],[BEST_MATCH,2951]]"
Assistant Manager,"[[A_LST,1631],[U_LST,13141],[BEST_MATCH,8125]]"
Management Assistant,"[[A_LST,1631],[U_LST,13141],[BEST_MATCH,8125]]"
Dispatch Manager,"[[A_LST,1311],[U_LST,11084],[BEST_MATCH,8482]]"
