job_title,total_by_category
Software Engineer,"[[A_LST,1870],[U_LST,667],[BEST_MATCH,1205]]"
Software Developer,"[[A_LST,778],[U_LST,290],[BEST_MATCH,845]]"
Senior Software Engineer,"[[A_LST,404],[U_LST,217],[BEST_MATCH,375]]"
Drone Software Development Engineer,"[[A_LST,195],[U_LST,36],[BEST_MATCH,394]]"
Software Development Engineer,"[[A_LST,195],[U_LST,36],[BEST_MATCH,394]]"
Software Test Engineer,"[[A_LST,196],[U_LST,73],[BEST_MATCH,225]]"
Software Tester,"[[A_LST,65],[U_LST,72],[BEST_MATCH,102]]"
Java Software Engineer,"[[A_LST,145],[U_LST,1],[BEST_MATCH,137]]"
Software Systems Engineer,"[[A_LST,43],[U_LST,16],[BEST_MATCH,198]]"
Systems Software Engineer,"[[A_LST,43],[U_LST,16],[BEST_MATCH,198]]"
